HOOK	ROffset	VOffset	Ordinal
_lua_open	523f20	923f20	0
_lua_close	523c30	923c30	1
_lua_newthread	50bd90	90bd90	2
_lua_gettop	50bdf0	90bdf0	3
_lua_settop	50be00	90be00	4
_lua_pushvalue	50bf40	90bf40	5
_lua_remove	50be50	90be50	6
_lua_insert	50bea0	90bea0	7
_lua_replace	50bef0	90bef0	8
_lua_checkstack	50bcc0	90bcc0	9
_lua_xmove	50bd20	90bd20	10
_lua_isnumber	50c000	90c000	11
_lua_isstring	50c060	90c060	12
_lua_isuserdata	50c0b0	90c0b0	13
_lua_type	50bfa0	90bfa0	14
_lua_typename	50bfe0	90bfe0	15
_lua_equal	50c160	90c160	16
_lua_rawequal	50c0f0	90c0f0	17
_lua_lessthan	50c1e0	90c1e0	18
_lua_tonumber	50c250	90c250	19
_lua_toboolean	50c2a0	90c2a0	20
_lua_tostring	50c2f0	90c2f0	21
_lua_strlen	50c370	90c370	22
_lua_tocfunction	50c3d0	90c3d0	23
_lua_tothread	50c4b0	90c4b0	24
_lua_topointer	50c4f0	90c4f0	25
_lua_pushnil	50c560	90c560	26
_lua_pushnumber	50c5a0	90c5a0	27
_lua_pushlstring	50c5e0	90c5e0	28
_lua_pushstring	50c650	90c650	29
_lua_pushvfstring	50c6b0	90c6b0	30
_lua_pushfstring	50c6f0	90c6f0	31
_lua_pushcclosure	50c730	90c730	32
_lua_pushboolean	50c7e0	90c7e0	33
_lua_pushlightuserdata	50c820	90c820	34
_lua_gettable	50c860	90c860	35
_lua_rawget	50c8b0	90c8b0	36
_lua_rawgeti	50c900	90c900	37
_lua_newtable	50c970	90c970	38
_lua_getmetatable	50c9e0	90c9e0	39
_lua_getfenv	50ca50	90ca50	40
_lua_settable	50cac0	90cac0	41
_lua_rawset	50cb00	90cb00	42
_lua_rawseti	50cb50	90cb50	43
_lua_setmetatable	50cba0	90cba0	44
_lua_setfenv	50cc10	90cc10	45
_lua_call	50cc60	90cc60	46
_lua_pcall	50cc90	90cc90	47
_lua_cpcall	50cd30	90cd30	48
_lua_load	50ce20	90ce20	49
_lua_dump	50ce70	90ce70	50
_lua_yield	5136a0	9136a0	51
_lua_resume	513e60	913e60	52
_lua_getgcthreshold	50ceb0	90ceb0	53
_lua_getgccount	50cec0	90cec0	54
_lua_setgcthreshold	50ced0	90ced0	55
_lua_version	50cf10	90cf10	56
_lua_error	50cf20	90cf20	57
_lua_next	50cf30	90cf30	58
_lua_concat	50cfa0	90cfa0	59
_lua_pushupvalues	50d140	90d140	60
_lua_getstack	511e40	911e40	61
_lua_getinfo	512b50	912b50	62
_lua_getlocal	511ee0	911ee0	63
_lua_setlocal	511f50	911f50	64
_lua_getupvalue	50d200	90d200	65
_lua_setupvalue	50d260	90d260	66
_lua_sethook	511dc0	911dc0	67
_lua_gethook	511e10	911e10	68
_lua_gethookmask	511e20	911e20	69
_lua_gethookcount	511e30	911e30	70
_luaL_openlib	50d660	90d660	71
_luaL_getmetafield	50d5a0	90d5a0	72
_luaL_callmeta	50d600	90d600	73
_luaL_typerror	50e200	90e200	74
_luaL_argerror	50e160	90e160	75
_luaL_checklstring	50e300	90e300	76
_luaL_optlstring	50e370	90e370	77
_luaL_checknumber	50e3d0	90e3d0	78
_luaL_optnumber	50e450	90e450	79
_luaL_checkstack	50d570	90d570	80
_luaL_checktype	50e280	90e280	81
_luaL_checkany	50e2d0	90e2d0	82
_luaL_newmetatable	50d4d0	90d4d0	83
_luaL_getmetatable	50d550	90d550	84
_luaL_where	50d3e0	90d3e0	85
_luaL_error	50d450	90d450	86
_luaL_findstring	50d480	90d480	87
_luaL_ref	50dc80	90dc80	88
_luaL_unref	50dd50	90dd50	89
_luaL_getn	50d8f0	90d8f0	90
_luaL_setn	50d810	90d810	91
_luaL_loadfile	50de30	90de30	92
_luaL_loadbuffer	50dfc0	90dfc0	93
_luaL_buffinit	50dc60	90dc60	94
_luaL_prepbuffer	50dac0	90dac0	95
_luaL_addlstring	50db00	90db00	96
_luaL_addstring	50db60	90db60	97
_luaL_addvalue	50dbd0	90dbd0	98
_luaL_pushresult	50db90	90db90	99
_lua_dofile	50e090	90e090	100
_lua_dostring	50e130	90e130	101
_lua_dobuffer	50e0d0	90e0d0	102
