_lua_open	0x00923F20
_lua_close	0x00923C30
_lua_newthread	0x0090BD90
_lua_gettop	0x0090BDF0
_lua_settop	0x0090BE00
_lua_pushvalue	0x0090BF40
_lua_remove	0x0090BE50
_lua_insert	0x0090BEA0
_lua_replace	0x0090BEF0
_lua_checkstack	0x0090BCC0
_lua_xmove	0x0090BD20
_lua_isnumber	0x0090C000
_lua_isstring	0x0090C060
_lua_isuserdata	0x0090C0B0
_lua_type	0x0090BFA0
_lua_typename	0x0090BFE0
_lua_equal	0x0090C160
_lua_rawequal	0x0090C0F0
_lua_lessthan	0x0090C1E0
_lua_tonumber	0x0090C250
_lua_toboolean	0x0090C2A0
_lua_tostring	0x0090C2F0
_lua_strlen	0x0090C370
_lua_tocfunction	0x0090C3D0
_lua_tothread	0x0090C4B0
_lua_topointer	0x0090C4F0
_lua_pushnil	0x0090C560
_lua_pushnumber	0x0090C5A0
_lua_pushlstring	0x0090C5E0
_lua_pushstring	0x0090C650
_lua_pushvfstring	0x0090C6B0
_lua_pushfstring	0x0090C6F0
_lua_pushcclosure	0x0090C730
_lua_pushboolean	0x0090C7E0
_lua_pushlightuserdata	0x0090C820
_lua_gettable	0x0090C860
_lua_rawget	0x0090C8B0
_lua_rawgeti	0x0090C900
_lua_newtable	0x0090C970
_lua_getmetatable	0x0090C9E0
_lua_getfenv	0x0090CA50
_lua_settable	0x0090CAC0
_lua_rawset	0x0090CB00
_lua_rawseti	0x0090CB50
_lua_setmetatable	0x0090CBA0
_lua_setfenv	0x0090CC10
_lua_call	0x0090CC60
_lua_pcall	0x0090CC90
_lua_cpcall	0x0090CD30
_lua_load	0x0090CE20
_lua_dump	0x0090CE70
_lua_yield	0x009136A0
_lua_resume	0x00913E60
_lua_getgcthreshold	0x0090CEB0
_lua_getgccount	0x0090CEC0
_lua_setgcthreshold	0x0090CED0
_lua_version	0x0090CF10
_lua_error	0x0090CF20
_lua_next	0x0090CF30
_lua_concat	0x0090CFA0
_lua_pushupvalues	0x0090D140
_lua_getstack	0x00911E40
_lua_getinfo	0x00912B50
_lua_getlocal	0x00911EE0
_lua_setlocal	0x00911F50
_lua_getupvalue	0x0090D200
_lua_setupvalue	0x0090D260
_lua_sethook	0x00911DC0
_lua_gethook	0x00911E10
_lua_gethookmask	0x00911E20
_lua_gethookcount	0x00911E30
_luaL_openlib	0x0090D660
_luaL_getmetafield	0x0090D5A0
_luaL_callmeta	0x0090D600
_luaL_typerror	0x0090E200
_luaL_argerror	0x0090E160
_luaL_checklstring	0x0090E300
_luaL_optlstring	0x0090E370
_luaL_checknumber	0x0090E3D0
_luaL_optnumber	0x0090E450
_luaL_checkstack	0x0090D570
_luaL_checktype	0x0090E280
_luaL_checkany	0x0090E2D0
_luaL_newmetatable	0x0090D4D0
_luaL_getmetatable	0x0090D550
_luaL_where	0x0090D3E0
_luaL_error	0x0090D450
_luaL_findstring	0x0090D480
_luaL_ref	0x0090DC80
_luaL_unref	0x0090DD50
_luaL_getn	0x0090D8F0
_luaL_setn	0x0090D810
_luaL_loadfile	0x0090DE30
_luaL_loadbuffer	0x0090DFC0
_luaL_buffinit	0x0090DC60
_luaL_prepbuffer	0x0090DAC0
_luaL_addlstring	0x0090DB00
_luaL_addstring	0x0090DB60
_luaL_addvalue	0x0090DBD0
_luaL_pushresult	0x0090DB90
_lua_dofile	0x0090E090
_lua_dostring	0x0090E130
_lua_dobuffer	0x0090E0D0
